scene,section,start_sec,end_sec,start_time,end_time,duration_sec,sentence,image,review_status,reason,motion,transition
123,EVE DÖNÜŞÜN İLK GÜNAHLARI,780.232,787.242,13:00.232,13:07.242,7.011,Onlar on yıldır savaşan ve şiddeti gündelik hayatın bir parçası hâline getiren askerlerdi.,panel_15.jpg,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, cümledeki tahta at veya hile temasını, savaş atmosferini doğrudan destekliyor; anlatılan kişi/olayla çelişen bir unsur taşımıyor.",pan_left,crossfade
124,EVE DÖNÜŞÜN İLK GÜNAHLARI,787.242,792.106,13:07.242,13:12.106,4.864,Troya’dan ayrılmışlardı ama savaşı içlerinde taşımaya devam ediyorlardı.,BLACK / NEW IMAGE NEEDED,YENİ GÖRSEL GEREKLİ,Kütüphanedeki mevcut görseller arasında bu cümleyi doğrudan ve yanlış çağrışım yaratmadan anlatan yeterince uygun bir görsel bulunmadığı için yeni görsel gerekli.,pan_right,crossfade
125,EVE DÖNÜŞÜN İLK GÜNAHLARI,792.106,796.97,13:12.106,13:16.970,4.864,İlk durakta onları tehlikeye atan şey şiddetten vazgeçememeleriydi.,panel_15.jpg,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, cümledeki tahta at veya hile temasını doğrudan destekliyor; anlatılan kişi/olayla çelişen bir unsur taşımıyor.",zoom_in,crossfade
126,EVE DÖNÜŞÜN İLK GÜNAHLARI,796.97,803.552,13:16.970,13:23.552,6.581,Bir sonraki durakta ise tehlike bunun tam tersi olacaktı: Her şeyi unutmak.,panel_06.jpg,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, “EVE DÖNÜŞÜN İLK GÜNAHLARI” bölümünün mekânını, karakterini veya duygusal tonunu destekliyor ve cümlenin anlamıyla çelişmiyor.",zoom_out,crossfade
127,EVE DÖNÜŞÜN İLK GÜNAHLARI,803.552,807.986,13:23.552,13:27.986,4.435,Bir sonraki durakları Lotus Yiyenlerin ülkesi oldu.,panel_07.jpg,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, cümledeki lotus ve unutma temasını doğrudan destekliyor; anlatılan kişi/olayla çelişen bir unsur taşımıyor.",pan_left,crossfade
128,EVE DÖNÜŞÜN İLK GÜNAHLARI,807.986,814.997,13:27.986,13:34.997,7.011,Burada yetişen gizemli bir bitkiden yiyen insanlar geçmişlerini ve evlerine dönme isteklerini unutuyordu.,panel_07.jpg,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, “EVE DÖNÜŞÜN İLK GÜNAHLARI” bölümünün mekânını, karakterini veya duygusal tonunu destekliyor ve cümlenin anlamıyla çelişmiyor.",pan_right,crossfade
129,EVE DÖNÜŞÜN İLK GÜNAHLARI,814.997,822.008,13:34.997,13:42.008,7.011,Odysseus’un keşif için gönderdiği üç adam lotus yedi ve artık İthaka’ya dönmek istemedi.,panel_07.jpg,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, cümledeki Odysseus’u, İthaka ve eve dönüş temasını doğrudan destekliyor; anlatılan kişi/olayla çelişen bir unsur taşımıyor.",zoom_in,crossfade
130,EVE DÖNÜŞÜN İLK GÜNAHLARI,822.008,826.871,13:42.008,13:46.871,4.864,Odysseus onları zorla gemiye götürdü ve küreklere bağlattı.,panel_16.jpg,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, cümledeki tahta at veya hile temasını, Odysseus’u doğrudan destekliyor; anlatılan kişi/olayla çelişen bir unsur taşımıyor.",zoom_out,crossfade
131,EVE DÖNÜŞÜN İLK GÜNAHLARI,826.871,830.877,13:46.871,13:50.877,4.005,Homeros’ta Lotus Yiyenler ayrı bir maceradır.,panel_07.jpg,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, cümledeki lotus ve unutma temasını doğrudan destekliyor; anlatılan kişi/olayla çelişen bir unsur taşımıyor.",pan_left,crossfade
132,EVE DÖNÜŞÜN İLK GÜNAHLARI,830.877,835.311,13:50.877,13:55.311,4.435,Nolan ise bu bölümü o şekilde kullanmaz.,BLACK / NEW IMAGE NEEDED,YENİ GÖRSEL GEREKLİ,Kütüphanedeki mevcut görseller arasında bu cümleyi doğrudan ve yanlış çağrışım yaratmadan anlatan yeterince uygun bir görsel bulunmadığı için yeni görsel gerekli.,pan_right,crossfade
133,EVE DÖNÜŞÜN İLK GÜNAHLARI,835.311,841.034,13:55.311,14:01.034,5.723,Unutmaya yol açan lotus çiçeğini daha sonra Kalypso’nun eline verir.,panel_06.jpg,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, cümledeki Kalypso bölümünü, lotus ve unutma temasını doğrudan destekliyor; anlatılan kişi/olayla çelişen bir unsur taşımıyor.",zoom_in,crossfade
134,EVE DÖNÜŞÜN İLK GÜNAHLARI,841.034,846.327,14:01.034,14:06.327,5.293,Bu değişiklik filmin hafıza ve savaş travması temasını güçlendirir.,panel_06.jpg,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, cümledeki savaş atmosferini doğrudan destekliyor; anlatılan kişi/olayla çelişen bir unsur taşımıyor.",zoom_out,crossfade
135,EVE DÖNÜŞÜN İLK GÜNAHLARI,846.327,852.908,14:06.327,14:12.908,6.581,"Odysseus, lotus yiyen adamlarını zorla da olsa eve dönüş yolunda tutmayı başardı.",panel_08.jpg,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, cümledeki Odysseus’u, lotus ve unutma temasını doğrudan destekliyor; anlatılan kişi/olayla çelişen bir unsur taşımıyor.",pan_left,crossfade
136,EVE DÖNÜŞÜN İLK GÜNAHLARI,852.908,861.207,14:12.908,14:21.207,8.299,"Fakat bir sonraki durakta yalnızca eve dönme istekleri değil, kutsal misafirperverlik yasasına duydukları güven de sınanacaktı.",BLACK / NEW IMAGE NEEDED,YENİ GÖRSEL GEREKLİ,Kütüphanedeki mevcut görseller arasında bu cümleyi doğrudan ve yanlış çağrışım yaratmadan anlatan yeterince uygun bir görsel bulunmadığı için yeni görsel gerekli.,pan_right,crossfade
137,EVE DÖNÜŞÜN İLK GÜNAHLARI,861.207,868.218,14:21.207,14:28.218,7.011,"Çünkü sığınacak bir yer bulduklarını düşünerek girdikleri mağara, Odysseus’un en meşhur düşmanına aitti.",panel_17.jpg,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, cümledeki Odysseus’u, mağara sahnesini doğrudan destekliyor; anlatılan kişi/olayla çelişen bir unsur taşımıyor.",zoom_in,crossfade
138,"POLYPHEMOS: ZEKÂ ONU KURTARDI, GURURU ELE VERDİ",868.218,873.941,14:28.218,14:33.941,5.723,Odysseus ve adamları büyük bir mağaranın bulunduğu bir adaya ulaştı.,panel_17.jpg,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, cümledeki Odysseus’u, mağara sahnesini doğrudan destekliyor; anlatılan kişi/olayla çelişen bir unsur taşımıyor.",zoom_out,crossfade
139,"POLYPHEMOS: ZEKÂ ONU KURTARDI, GURURU ELE VERDİ",873.941,878.804,14:33.941,14:38.804,4.864,"Mağaranın içinde koyunlar, keçiler, süt ve peynir vardı.",panel_17.jpg,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, cümledeki mağara sahnesini, koyunlarla kaçış planını doğrudan destekliyor; anlatılan kişi/olayla çelişen bir unsur taşımıyor.",pan_left,crossfade
140,"POLYPHEMOS: ZEKÂ ONU KURTARDI, GURURU ELE VERDİ",878.804,882.81,14:38.804,14:42.810,4.005,Adamları yiyeceklerden alıp hemen gitmek istedi.,BLACK / NEW IMAGE NEEDED,YENİ GÖRSEL GEREKLİ,Kütüphanedeki mevcut görseller arasında bu cümleyi doğrudan ve yanlış çağrışım yaratmadan anlatan yeterince uygun bir görsel bulunmadığı için yeni görsel gerekli.,pan_right,crossfade
141,"POLYPHEMOS: ZEKÂ ONU KURTARDI, GURURU ELE VERDİ",882.81,889.82,14:42.810,14:49.820,7.011,Fakat Odysseus mağaranın sahibini görmeye ve ondan bir misafir hediyesi almaya karar verdi.,panel_17.jpg,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, cümledeki tahta at veya hile temasını, Odysseus’u doğrudan destekliyor; anlatılan kişi/olayla çelişen bir unsur taşımıyor.",zoom_in,crossfade
142,"POLYPHEMOS: ZEKÂ ONU KURTARDI, GURURU ELE VERDİ",889.82,894.255,14:49.820,14:54.255,4.435,Bu beklentinin arkasında yine misafirperverlik yasası vardı.,panel_17.jpg,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, “POLYPHEMOS: ZEKÂ ONU KURTARDI, GURURU ELE VERDİ” bölümünün mekânını, karakterini veya duygusal tonunu destekliyor ve cümlenin anlamıyla çelişmiyor.",zoom_out,crossfade
143,"POLYPHEMOS: ZEKÂ ONU KURTARDI, GURURU ELE VERDİ",894.255,898.689,14:54.255,14:58.689,4.435,Fakat mağaranın sahibi Polyphemos isimli bir Kiklop’tu.,panel_18.jpg,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, cümledeki tahta at veya hile temasını, Polyphemos/Kiklop olayını doğrudan destekliyor; anlatılan kişi/olayla çelişen bir unsur taşımıyor.",pan_left,crossfade
144,"POLYPHEMOS: ZEKÂ ONU KURTARDI, GURURU ELE VERDİ",898.689,903.553,14:58.689,15:03.553,4.864,"Kikloplar, tek gözlü devler olarak anlatılan mitolojik yaratıklardı.",panel_18.jpg,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, cümledeki tahta at veya hile temasını doğrudan destekliyor; anlatılan kişi/olayla çelişen bir unsur taşımıyor.",pan_right,crossfade
145,"POLYPHEMOS: ZEKÂ ONU KURTARDI, GURURU ELE VERDİ",903.553,907.559,15:03.553,15:07.559,4.005,Polyphemos ise sıradan bir dev değildi.,panel_18.jpg,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, cümledeki Polyphemos/Kiklop olayını doğrudan destekliyor; anlatılan kişi/olayla çelişen bir unsur taşımıyor.",zoom_in,crossfade
146,"POLYPHEMOS: ZEKÂ ONU KURTARDI, GURURU ELE VERDİ",907.559,911.564,15:07.559,15:11.564,4.005,Denizlerin ve depremlerin tanrısı Poseidon’un oğluydu.,panel_22.jpg,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, cümledeki Poseidon ve deniz tehdidini doğrudan destekliyor; anlatılan kişi/olayla çelişen bir unsur taşımıyor.",zoom_out,crossfade
147,"POLYPHEMOS: ZEKÂ ONU KURTARDI, GURURU ELE VERDİ",911.564,917.716,15:11.564,15:17.716,6.152,Polyphemos mağaraya döndüğünde girişe yalnız kendisinin kaldırabileceği dev bir kaya yerleştirdi.,panel_18.jpg,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, cümledeki Polyphemos/Kiklop olayını, mağara sahnesini doğrudan destekliyor; anlatılan kişi/olayla çelişen bir unsur taşımıyor.",pan_left,crossfade
148,"POLYPHEMOS: ZEKÂ ONU KURTARDI, GURURU ELE VERDİ",917.716,923.009,15:17.716,15:23.009,5.293,"Odysseus, Zeus’un koruduğu misafirlik yasasını hatırlatarak ondan yardım istedi.",BLACK / NEW IMAGE NEEDED,YENİ GÖRSEL GEREKLİ,Kütüphanedeki mevcut görseller arasında bu cümleyi doğrudan ve yanlış çağrışım yaratmadan anlatan yeterince uygun bir görsel bulunmadığı için yeni görsel gerekli.,pan_right,crossfade
149,"POLYPHEMOS: ZEKÂ ONU KURTARDI, GURURU ELE VERDİ",923.009,927.014,15:23.009,15:27.014,4.005,Polyphemos ise bu yasayı umursamadığını söyledi.,panel_18.jpg,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, cümledeki Polyphemos/Kiklop olayını doğrudan destekliyor; anlatılan kişi/olayla çelişen bir unsur taşımıyor.",zoom_in,crossfade
150,"POLYPHEMOS: ZEKÂ ONU KURTARDI, GURURU ELE VERDİ",927.014,931.449,15:27.014,15:31.449,4.435,Ardından Odysseus’un adamlarından bazılarını yakalayıp yemeye başladı.,panel_18.jpg,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, cümledeki Odysseus’u doğrudan destekliyor; anlatılan kişi/olayla çelişen bir unsur taşımıyor.",zoom_out,crossfade
151,"POLYPHEMOS: ZEKÂ ONU KURTARDI, GURURU ELE VERDİ",931.449,935.454,15:31.449,15:35.454,4.005,Odysseus ve diğerleri mağarada kapana kısılmıştı.,panel_18.jpg,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, cümledeki Odysseus’u, mağara sahnesini doğrudan destekliyor; anlatılan kişi/olayla çelişen bir unsur taşımıyor.",pan_left,crossfade
152,"POLYPHEMOS: ZEKÂ ONU KURTARDI, GURURU ELE VERDİ",935.454,938.171,15:35.454,15:38.171,2.717,Devi uyurken öldürebilirlerdi.,panel_18.jpg,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, “POLYPHEMOS: ZEKÂ ONU KURTARDI, GURURU ELE VERDİ” bölümünün mekânını, karakterini veya duygusal tonunu destekliyor ve cümlenin anlamıyla çelişmiyor.",pan_right,crossfade
153,"POLYPHEMOS: ZEKÂ ONU KURTARDI, GURURU ELE VERDİ",938.171,945.182,15:38.171,15:45.182,7.011,Fakat o zaman mağaranın girişindeki kayayı kimse hareket ettiremeyecek ve içeride mahsur kalacaklardı.,panel_18.jpg,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, cümledeki tahta at veya hile temasını, mağara sahnesini doğrudan destekliyor; anlatılan kişi/olayla çelişen bir unsur taşımıyor.",zoom_in,crossfade
154,"POLYPHEMOS: ZEKÂ ONU KURTARDI, GURURU ELE VERDİ",945.182,948.328,15:45.182,15:48.328,3.147,Odysseus yine zekâsını kullandı.,BLACK / NEW IMAGE NEEDED,YENİ GÖRSEL GEREKLİ,Kütüphanedeki mevcut görseller arasında bu cümleyi doğrudan ve yanlış çağrışım yaratmadan anlatan yeterince uygun bir görsel bulunmadığı için yeni görsel gerekli.,zoom_out,crossfade
155,"POLYPHEMOS: ZEKÂ ONU KURTARDI, GURURU ELE VERDİ",948.328,952.334,15:48.328,15:52.334,4.005,Polyphemos’a çok güçlü bir şarap verdi.,panel_19.jpg,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, cümledeki Polyphemos/Kiklop olayını doğrudan destekliyor; anlatılan kişi/olayla çelişen bir unsur taşımıyor.",pan_left,crossfade
156,"POLYPHEMOS: ZEKÂ ONU KURTARDI, GURURU ELE VERDİ",952.334,956.339,15:52.334,15:56.339,4.005,Dev sarhoş olduğunda Odysseus’a adını sordu.,panel_18.jpg,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, cümledeki Odysseus’u doğrudan destekliyor; anlatılan kişi/olayla çelişen bir unsur taşımıyor.",pan_right,crossfade
157,"POLYPHEMOS: ZEKÂ ONU KURTARDI, GURURU ELE VERDİ",956.339,959.485,15:56.339,15:59.485,3.147,Odysseus gerçek adını söylemedi.,panel_21.jpg,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, cümledeki Odysseus’u doğrudan destekliyor; anlatılan kişi/olayla çelişen bir unsur taşımıyor.",zoom_in,crossfade
158,"POLYPHEMOS: ZEKÂ ONU KURTARDI, GURURU ELE VERDİ",959.485,963.061,15:59.485,16:03.061,3.576,"“Benim adım Hiç Kimse,” dedi.",panel_19.jpg,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, “POLYPHEMOS: ZEKÂ ONU KURTARDI, GURURU ELE VERDİ” bölümünün mekânını, karakterini veya duygusal tonunu destekliyor ve cümlenin anlamıyla çelişmiyor.",zoom_out,crossfade
159,"POLYPHEMOS: ZEKÂ ONU KURTARDI, GURURU ELE VERDİ",963.061,969.643,16:03.061,16:09.643,6.581,Polyphemos uykuya daldığında Odysseus ve adamları büyük bir tahta kazığı ateşte sertleştirdi.,panel_19.jpg,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, cümledeki tahta at veya hile temasını, Odysseus’u doğrudan destekliyor; anlatılan kişi/olayla çelişen bir unsur taşımıyor.",pan_left,crossfade
160,"POLYPHEMOS: ZEKÂ ONU KURTARDI, GURURU ELE VERDİ",969.643,974.936,16:09.643,16:14.936,5.293,Ardından kazığı devin tek gözüne saplayarak onu kör ettiler.,panel_19.jpg,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, “POLYPHEMOS: ZEKÂ ONU KURTARDI, GURURU ELE VERDİ” bölümünün mekânını, karakterini veya duygusal tonunu destekliyor ve cümlenin anlamıyla çelişmiyor.",pan_right,crossfade
161,"POLYPHEMOS: ZEKÂ ONU KURTARDI, GURURU ELE VERDİ",974.936,980.658,16:14.936,16:20.658,5.723,Polyphemos acı içinde bağırınca adadaki diğer Kikloplar mağaranın dışına geldi.,panel_18.jpg,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, cümledeki Polyphemos/Kiklop olayını, mağara sahnesini doğrudan destekliyor; anlatılan kişi/olayla çelişen bir unsur taşımıyor.",zoom_in,crossfade
162,"POLYPHEMOS: ZEKÂ ONU KURTARDI, GURURU ELE VERDİ",980.658,983.805,16:20.658,16:23.805,3.147,Ona kimin saldırdığını sordular.,BLACK / NEW IMAGE NEEDED,YENİ GÖRSEL GEREKLİ,Kütüphanedeki mevcut görseller arasında bu cümleyi doğrudan ve yanlış çağrışım yaratmadan anlatan yeterince uygun bir görsel bulunmadığı için yeni görsel gerekli.,zoom_out,crossfade
163,"POLYPHEMOS: ZEKÂ ONU KURTARDI, GURURU ELE VERDİ",983.805,988.24,16:23.805,16:28.240,4.435,"Polyphemos, “Hiç Kimse beni öldürüyor!” diye bağırdı.",panel_19.jpg,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, cümledeki Polyphemos/Kiklop olayını doğrudan destekliyor; anlatılan kişi/olayla çelişen bir unsur taşımıyor.",pan_left,crossfade
164,"POLYPHEMOS: ZEKÂ ONU KURTARDI, GURURU ELE VERDİ",988.24,993.103,16:28.240,16:33.103,4.864,Diğer Kikloplar kimse saldırmıyorsa yardım edemeyeceklerini düşünüp uzaklaştı.,panel_18.jpg,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, “POLYPHEMOS: ZEKÂ ONU KURTARDI, GURURU ELE VERDİ” bölümünün mekânını, karakterini veya duygusal tonunu destekliyor ve cümlenin anlamıyla çelişmiyor.",pan_right,crossfade
165,"POLYPHEMOS: ZEKÂ ONU KURTARDI, GURURU ELE VERDİ",993.103,1000.973,16:33.103,16:40.973,7.869,Ertesi sabah Polyphemos koyunlarını dışarı çıkarırken insanların kaçmasını engellemek için hayvanların sırtlarını elleriyle kontrol etti.,panel_18.jpg,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, cümledeki Polyphemos/Kiklop olayını, koyunlarla kaçış planını doğrudan destekliyor; anlatılan kişi/olayla çelişen bir unsur taşımıyor.",zoom_in,crossfade
166,"POLYPHEMOS: ZEKÂ ONU KURTARDI, GURURU ELE VERDİ",1000.973,1006.695,16:40.973,16:46.695,5.723,"Fakat Odysseus ve adamları koyunların sırtına değil, karınlarının altına tutunmuştu.",panel_20.jpg,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, cümledeki tahta at veya hile temasını, Odysseus’u doğrudan destekliyor; anlatılan kişi/olayla çelişen bir unsur taşımıyor.",zoom_out,crossfade
167,"POLYPHEMOS: ZEKÂ ONU KURTARDI, GURURU ELE VERDİ",1006.695,1009.842,16:46.695,16:49.842,3.147,Böylece mağaradan kaçmayı başardılar.,panel_20.jpg,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, cümledeki mağara sahnesini doğrudan destekliyor; anlatılan kişi/olayla çelişen bir unsur taşımıyor.",pan_left,crossfade
168,"POLYPHEMOS: ZEKÂ ONU KURTARDI, GURURU ELE VERDİ",1009.842,1013.418,16:49.842,16:53.418,3.576,Odysseus’un planı kusursuza yakın işlemişti.,panel_19.jpg,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, cümledeki Odysseus’u doğrudan destekliyor; anlatılan kişi/olayla çelişen bir unsur taşımıyor.",pan_right,crossfade
169,"POLYPHEMOS: ZEKÂ ONU KURTARDI, GURURU ELE VERDİ",1013.418,1019.14,16:53.418,16:59.140,5.723,"Sonra Odysseus, yaptığı bütün planı tehlikeye atan bir hata yaptı.",panel_19.jpg,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, cümledeki tahta at veya hile temasını, Odysseus’u doğrudan destekliyor; anlatılan kişi/olayla çelişen bir unsur taşımıyor.",zoom_in,crossfade
170,"POLYPHEMOS: ZEKÂ ONU KURTARDI, GURURU ELE VERDİ",1019.14,1024.004,16:59.140,17:04.004,4.864,Gemiye ulaştıklarında arkadaşları ona sessiz kalması için yalvardı.,panel_21.jpg,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, cümledeki deniz yolculuğunu doğrudan destekliyor; anlatılan kişi/olayla çelişen bir unsur taşımıyor.",zoom_out,crossfade
171,"POLYPHEMOS: ZEKÂ ONU KURTARDI, GURURU ELE VERDİ",1024.004,1036.167,17:04.004,17:16.167,12.163,Fakat Odysseus kıyıdaki kör deve seslendi ve gerçek adını açıkladı: “Bunu sana yapan kişi İthaka Kralı Odysseus’tur.” Kazandığı zaferin kime ait olduğunu herkesin bilmesini istiyordu.,panel_21.jpg,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, cümledeki tahta at veya hile temasını, Odysseus’u doğrudan destekliyor; anlatılan kişi/olayla çelişen bir unsur taşımıyor.",pan_left,crossfade
172,"POLYPHEMOS: ZEKÂ ONU KURTARDI, GURURU ELE VERDİ",1036.167,1040.173,17:16.167,17:20.173,4.005,"Gururu, onun en belirgin zayıflıklarından biriydi.",panel_21.jpg,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, “POLYPHEMOS: ZEKÂ ONU KURTARDI, GURURU ELE VERDİ” bölümünün mekânını, karakterini veya duygusal tonunu destekliyor ve cümlenin anlamıyla çelişmiyor.",pan_right,crossfade
173,"POLYPHEMOS: ZEKÂ ONU KURTARDI, GURURU ELE VERDİ",1040.173,1045.036,17:20.173,17:25.036,4.864,Polyphemos gerçek adını öğrenince babası Poseidon’a dua etti.,panel_21.jpg,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, cümledeki Poseidon ve deniz tehdidini, Polyphemos/Kiklop olayını doğrudan destekliyor; anlatılan kişi/olayla çelişen bir unsur taşımıyor.",zoom_in,crossfade
174,"POLYPHEMOS: ZEKÂ ONU KURTARDI, GURURU ELE VERDİ",1045.036,1054.623,17:25.036,17:34.623,9.587,"Odysseus’un evine dönememesini; dönmesi kaderinde varsa da bütün arkadaşlarını kaybettikten sonra, yıllar süren acılı bir yolculuğun sonunda dönmesini istedi.",BLACK / NEW IMAGE NEEDED,YENİ GÖRSEL GEREKLİ,Kütüphanedeki mevcut görseller arasında bu cümleyi doğrudan ve yanlış çağrışım yaratmadan anlatan yeterince uygun bir görsel bulunmadığı için yeni görsel gerekli.,zoom_out,crossfade
175,"POLYPHEMOS: ZEKÂ ONU KURTARDI, GURURU ELE VERDİ",1054.623,1057.77,17:34.623,17:37.770,3.147,Poseidon oğlunun duasını duydu.,panel_22.jpg,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, cümledeki Poseidon ve deniz tehdidini doğrudan destekliyor; anlatılan kişi/olayla çelişen bir unsur taşımıyor.",pan_left,crossfade
176,"POLYPHEMOS: ZEKÂ ONU KURTARDI, GURURU ELE VERDİ",1057.77,1064.351,17:37.770,17:44.351,6.581,"Odysseus’un zekâsı onu mağaradan kurtarmış, fakat gururu denizlerin tanrısını düşmanı hâline getirmişti.",panel_21.jpg,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, cümledeki tahta at veya hile temasını, Odysseus’u doğrudan destekliyor; anlatılan kişi/olayla çelişen bir unsur taşımıyor.",pan_right,crossfade
177,"POLYPHEMOS: ZEKÂ ONU KURTARDI, GURURU ELE VERDİ",1064.351,1070.074,17:44.351,17:50.074,5.723,"Şarap, “Hiç Kimse” adı ve koyunların altına saklanma oyunu Homeros’tadır.",panel_20.jpg,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, cümledeki koyunlarla kaçış planını doğrudan destekliyor; anlatılan kişi/olayla çelişen bir unsur taşımıyor.",zoom_in,crossfade
178,"POLYPHEMOS: ZEKÂ ONU KURTARDI, GURURU ELE VERDİ",1070.074,1074.508,17:50.074,17:54.508,4.435,Nolan ise bu ünlü kelime oyununu çıkarır.,BLACK / NEW IMAGE NEEDED,YENİ GÖRSEL GEREKLİ,Kütüphanedeki mevcut görseller arasında bu cümleyi doğrudan ve yanlış çağrışım yaratmadan anlatan yeterince uygun bir görsel bulunmadığı için yeni görsel gerekli.,zoom_out,crossfade
179,"POLYPHEMOS: ZEKÂ ONU KURTARDI, GURURU ELE VERDİ",1074.508,1081.09,17:54.508,18:01.090,6.581,Filmde askerler Polyphemos’un konuşabildiğini başlangıçta bilmez ve koyunların sırtlarına ot bağlayarak kaçar.,panel_18.jpg,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, cümledeki Polyphemos/Kiklop olayını, koyunlarla kaçış planını doğrudan destekliyor; anlatılan kişi/olayla çelişen bir unsur taşımıyor.",pan_left,crossfade
180,"POLYPHEMOS: ZEKÂ ONU KURTARDI, GURURU ELE VERDİ",1081.09,1087.242,18:01.090,18:07.242,6.152,"Odysseus ayrıca gemiden, zaten kör edilen Polyphemos’un gözüne bir ok atar.",panel_19.jpg,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, cümledeki tahta at veya hile temasını, Odysseus’u doğrudan destekliyor; anlatılan kişi/olayla çelişen bir unsur taşımıyor.",pan_right,crossfade
181,"POLYPHEMOS: ZEKÂ ONU KURTARDI, GURURU ELE VERDİ",1087.242,1093.823,18:07.242,18:13.823,6.581,Nolan böylece uzun zekâ oyununu daha fiziksel ve acımasız bir çatışmaya dönüştürür.,BLACK / NEW IMAGE NEEDED,YENİ GÖRSEL GEREKLİ,Kütüphanedeki mevcut görseller arasında bu cümleyi doğrudan ve yanlış çağrışım yaratmadan anlatan yeterince uygun bir görsel bulunmadığı için yeni görsel gerekli.,zoom_in,crossfade
182,"POLYPHEMOS: ZEKÂ ONU KURTARDI, GURURU ELE VERDİ",1093.823,1100.834,18:13.823,18:20.834,7.011,"Homeros’un kurnaz hikâye kahramanı, savaşın şiddetini gittiği her yere taşıyan bir askere yaklaşır.",BLACK / NEW IMAGE NEEDED,YENİ GÖRSEL GEREKLİ,Kütüphanedeki mevcut görseller arasında bu cümleyi doğrudan ve yanlış çağrışım yaratmadan anlatan yeterince uygun bir görsel bulunmadığı için yeni görsel gerekli.,zoom_out,crossfade
183,"POLYPHEMOS: ZEKÂ ONU KURTARDI, GURURU ELE VERDİ",1100.834,1107.415,18:20.834,18:27.415,6.581,"Yöntem değişse de sonuç aynıdır: Polyphemos yaralanmış, Poseidon ise Odysseus’un düşmanı olmuştur.",panel_22.jpg,MEVCUT GÖRSEL KULLANILABİLİR,"Görsel, cümledeki Odysseus’u, Poseidon ve deniz tehdidini doğrudan destekliyor; anlatılan kişi/olayla çelişen bir unsur taşımıyor.",pan_left,crossfade
184,"POLYPHEMOS: ZEKÂ ONU KURTARDI, GURURU ELE VERDİ",1107.415,1113.567,18:27.415,18:33.567,6.152,Bu andan itibaren deniz artık yalnızca eve uzanan bir yol değildir.,BLACK / NEW IMAGE NEEDED,YENİ GÖRSEL GEREKLİ,Kütüphanedeki mevcut görseller arasında bu cümleyi doğrudan ve yanlış çağrışım yaratmadan anlatan yeterince uygun bir görsel bulunmadığı için yeni görsel gerekli.,pan_right,crossfade
